subroot_map_50014756,-0.0461981,0.0228648,-0.0507209
subroot_map_1623,-0.0478262,0.0236296,-0.0517421
subroot_map_1622,-0.0467376,0.0236919,-0.0511702
subroot_map_122968003,-0.0454168,0.0241736,-0.0506198
subroot_map_50020519,-0.0522132,0.0225064,-0.0538176
subroot_map_50023504,-0.0492617,0.0232384,-0.0528757
subroot_map_50023625,-0.0478529,0.0245874,-0.0520724
subroot_map_50023502,-0.0469968,0.0234023,-0.0511203
subroot_map_50014480,-0.0403729,0.0233737,-0.0477262
subroot_map_50006846,-0.0474302,0.023126,-0.0514382
subroot_map_50014482,-0.040446,0.0214007,-0.0476776
subroot_map_50014481,-0.0492834,0.0230101,-0.0523781
subroot_map_50146004,-0.0479519,0.0240719,-0.0520474
subroot_map_121138001,-0.0415838,0.0225891,-0.0486573
subroot_map_50007010,-0.0287365,0.0178538,-0.0392203
subroot_map_2305,-0.049077,0.0233687,-0.0522774
subroot_map_50009037,-0.0480005,0.0222776,-0.0512035
subroot_map_50020646,0.0269322,0.00219758,0.00223136
subroot_map_50020487,-0.0436811,0.0219375,-0.0491669
subroot_map_50017085,-0.0477102,0.0231364,-0.051596
subroot_map_50005747,-0.0425188,0.0209285,-0.0482683
subroot_map_50020490,0.0572911,-0.010504,0.0331277
subroot_map_122954001,-0.0401807,0.0218367,-0.0471774
subroot_map_50002918,-0.0488002,0.0229474,-0.0523968
subroot_map_50010537,-0.0494201,0.0246787,-0.0529151
subroot_map_50024050,-0.0331978,0.020732,-0.0423849
subroot_map_121408038,-0.0491431,0.0242901,-0.0526276
subroot_map_50078002,0.0458673,-0.00805179,0.02707
subroot_map_50078001,0.0555655,-0.0073397,0.0298265
subroot_map_121408037,-0.0438844,0.023583,-0.0497522
subroot_map_121434005,-0.0504747,0.0245309,-0.0534606
subroot_map_50014227,-0.049848,0.0237375,-0.0529273
subroot_map_50006583,-0.0389801,0.0283161,-0.0483191
subroot_map_50010042,-0.0464947,0.022472,-0.050871
subroot_map_50018708,-0.0183749,0.0173361,-0.0343367
subroot_map_123006001,-0.0428029,0.0215248,-0.0485482
subroot_map_122632007,-0.0526286,0.0238266,-0.0541571
subroot_map_50015285,-0.0419687,0.0218974,-0.0482652
subroot_map_217312,0.053825,-0.0094688,0.0295849
subroot_map_121454006,-0.0482921,0.0238845,-0.0519528
subroot_map_162104,-0.046838,0.0241273,-0.0513741
subroot_map_122680006,-0.0499671,0.0250555,-0.0533581
subroot_map_50014479,-0.0270053,0.0199543,-0.039581
subroot_map_50005757,-0.0475247,0.0229334,-0.0514908
subroot_map_1629,-0.0489239,0.0243197,-0.0527494
subroot_map_50050725,-0.00109869,0.000462107,-0.00222234
subroot_map_50013061,0.0551147,-0.0102308,0.0296166
subroot_map_50008885,-0.0415586,0.0226757,-0.0482749
subroot_map_50012028,-0.0495242,0.0239218,-0.0527278
subroot_map_50008565,-0.0458235,0.0231805,-0.0506742
occupation_公职,0.2726,-0.0447954,0.0680404
subroot_map_50015288,0.0154015,0.0091232,-0.0132092
subroot_map_121408009,0.0556366,-0.00816035,0.031295
subroot_map_50012512,-0.0197584,0.016592,-0.0345287
subroot_map_50012772,-0.0476705,0.0231535,-0.0516028
subroot_map_121408018,-0.0477693,0.0223295,-0.0512802
subroot_map_121370030,-0.0114895,0.015527,-0.0292039
subroot_map_122970002,-0.039505,0.020518,-0.0463412
subroot_map_122852003,-0.0177048,0.0152637,-0.032568
subroot_map_123008001,-0.0394549,0.0218832,-0.0470416
subroot_map_123004002,-0.0446165,0.0214973,-0.0495601
subroot_map_50025007,-0.0214168,0.0114127,-0.0241777
subroot_map_50026403,-0.0424469,0.0205612,-0.0477654
subroot_map_50019630,-0.051778,0.0232576,-0.0536768
subroot_map_122958002,-0.0417421,0.0220037,-0.0479371
subroot_map_50018960,0.0627854,-0.0121146,0.0336142
subroot_map_50015455,-0.0425273,0.0211991,-0.047994
subroot_map_50012036,-0.048974,0.024235,-0.0529226
subroot_map_50010794,0.0560824,-0.00733739,0.0298641
subroot_map_50013194,-0.0480149,0.023852,-0.051822
