subroot_map_50011123,561,0
subroot_map_50016663,1561,0
subroot_map_123378001,28,0
subroot_map_50011159,190,0
subroot_map_50004620,117,0
subroot_map_50024153,55,0
subroot_map_50008881,2063,0
subroot_map_50016353,802,0
subroot_map_50008430,9,0
subroot_map_121398006,1134,0
subroot_map_50020677,10,0
subroot_map_121386023,79,0
subroot_map_122242007,73,0
subroot_map_50008554,97,0
subroot_map_50316001,11,0
subroot_map_3314,280,0
subroot_map_50006000,110,0
subroot_map_50005033,236,0
subroot_map_50012825,127,0
subroot_map_50021419,69,0
subroot_map_50021417,208,0
subroot_map_121466009,33,0
subroot_map_50021415,131,0
subroot_map_122654005,358,0
subroot_map_50008543,14,0
subroot_map_50021420,416,0
subroot_map_50050199,169,0
subroot_map_121364004,170,0
subroot_map_121364003,94,0
subroot_map_50000813,67,0
subroot_map_50011980,373,0
subroot_map_110809,157,0
subroot_map_122620013,1014,0
subroot_map_50010530,18,0
subroot_map_50005060,164,0
subroot_map_50011826,283,0
subroot_map_50007125,391,0
subroot_map_1,0,0
subroot_map_50010527,201,0
subroot_map_50010406,1739,0
subroot_map_50010524,165,0
subroot_map_50010402,70,0
subroot_map_3338,55,0
subroot_map_50005050,51,0
subroot_map_50008563,5,0
subroot_map_124412002,12,0
subroot_map_50011717,31,0
subroot_map_50018230,66,0
subroot_map_50016058,170,0
subroot_map_122642004,13,0
subroot_map_122998001,272,0
subroot_map_50006217,403,0
subroot_map_122974003,175,0
subroot_map_50019651,1016,0
subroot_map_50015293,119,0
subroot_map_50010825,72,0
subroot_map_2165,41,0
subroot_map_121456019,333,0
subroot_map_50012907,63,0
subroot_map_50012908,38,0
subroot_map_123004001,277,0
subroot_map_122736001,410,0
subroot_map_50010815,38,0
subroot_map_50010813,1161,0
subroot_map_50018218,5,0
subroot_map_50016119,987,0
subroot_map_122918003,234,0
subroot_map_50008779,534,0
subroot_map_50005266,285,0
subroot_map_50008897,211,0
subroot_map_121386009,9,0
subroot_map_124708009,10,0
subroot_map_50018424,319,0
subroot_map_50018426,1108,0
subroot_map_121434004,88,0
subroot_map_50008883,1233,0
subroot_map_50006584,3630,0
subroot_map_121456022,29,0
subroot_map_50005250,951,0
subroot_map_50021837,2,0
subroot_map_50009857,30,0
subroot_map_50008528,341,0
subroot_map_50019641,1781,0
subroot_map_50050371,39,0
subroot_map_121462057,83,0
subroot_map_50050489,69,0
subroot_map_50015371,943,0
subroot_map_121384005,167,0
subroot_map_50013196,463,0
subroot_map_50015374,118,0
subroot_map_50015377,38,0
subroot_map_50013198,170,0
subroot_map_121956004,5,0
subroot_map_50019617,316,0
subroot_map_125058001,6,0
subroot_map_50020845,69,0
subroot_map_124346005,49,0
subroot_map_50020841,85,0
subroot_map_50016472,306,0
subroot_map_50024098,1398,0
subroot_map_50015262,48,0
subroot_map_121452006,44,0
subroot_map_124988005,6,0
subroot_map_350407,93,0
subroot_map_350404,44,0
subroot_map_350402,22,0
subroot_map_50008613,116,0
subroot_map_50008737,886,0
subroot_map_50012080,15,0
subroot_map_121384022,320,0
subroot_map_50010807,45,0
subroot_map_50010805,28,0
subroot_map_124208010,59,0
subroot_map_50012083,350,0
subroot_map_50023096,9,0
subroot_map_50010803,22,0
subroot_map_50016443,6,0
subroot_map_124208014,52,0
subroot_map_124392002,4,0
subroot_map_50016689,49,0
subroot_map_50016687,159,0
subroot_map_50019712,281,0
subroot_map_50018869,228,0
subroot_map_50004363,26,0
subroot_map_50008604,40,0
subroot_map_125046003,14,0
subroot_map_125046004,335,0
subroot_map_50016455,44,0
subroot_map_50013189,935,0
subroot_map_350507,11,0
subroot_map_121410016,127,0
subroot_map_50000072,54,0
subroot_map_50004674,79,0
subroot_map_121394007,87,0
subroot_map_50024048,305,0
subroot_map_124138007,6,0
subroot_map_50008904,479,0
subroot_map_125232003,22,0
subroot_map_50025012,45,0
subroot_map_50008906,115,0
subroot_map_50008905,331,0
subroot_map_123514003,166,0
subroot_map_50012068,16,0
subroot_map_50019812,26,0
subroot_map_290503,300,0
subroot_map_50015219,6,0
subroot_map_50005752,395,0
subroot_map_50008901,560,0
subroot_map_211708,83,0
subroot_map_211707,25,0
subroot_map_122894005,20,0
subroot_map_123454001,22,0
subroot_map_50014493,26,0
subroot_map_121382014,20,0
subroot_map_50018971,68,0
subroot_map_50018975,445,0
subroot_map_121454013,116,0
subroot_map_121454011,33,0
subroot_map_121476002,26,0
subroot_map_50025111,107,0
subroot_map_50023294,66,0
subroot_map_50012162,553,0
subroot_map_50012163,457,0
subroot_map_50012043,95,0
subroot_map_50015558,4,0
subroot_map_50001290,114,0
subroot_map_50005774,35,0
subroot_map_50005773,14,0
subroot_map_50003112,12,0
subroot_map_50152002,325,0
subroot_map_50023067,67,0
subroot_map_50070004,9,0
subroot_map_50012051,590,0
subroot_map_50013021,25,0
subroot_map_50015200,13,0
subroot_map_50015568,69,0
subroot_map_50011167,790,0
subroot_map_50012019,223,0
subroot_map_121426007,12,0
subroot_map_123000001,718,0
subroot_map_50025689,59,0
subroot_map_50013477,50,0
subroot_map_50011153,320,0
subroot_map_50011150,25,0
subroot_map_50004743,24,0
subroot_map_50004621,149,0
subroot_map_50005952,865,0
subroot_map_50024369,42,0
subroot_map_50024248,15,0
subroot_map_2909,97,0
subroot_map_50023283,87,0
subroot_map_50012031,45,0
subroot_map_50012032,398,0
subroot_map_50015988,91,0
subroot_map_110215,18,0
subroot_map_50000177,27,0
subroot_map_110210,63,0
subroot_map_110211,46,0
subroot_map_50050622,302,0
subroot_map_124406003,49,0
subroot_map_50003318,215,0
subroot_map_50023498,921,0
subroot_map_50005736,750,0
subroot_map_50024101,1278,0
subroot_map_123596001,62,0
subroot_map_50013217,294,0
subroot_map_124086006,4,0
subroot_map_50015518,22,0
subroot_map_122430002,15,0
subroot_map_50016729,394,0
subroot_map_50025680,30,0
subroot_map_122730001,17,0
subroot_map_121472013,14,0
subroot_map_121288001,3,0
subroot_map_122880002,266,0
subroot_map_50009047,142,0
subroot_map_50010394,107,0
subroot_map_50014759,124,0
subroot_map_50003860,72,0
subroot_map_122444001,82,0
subroot_map_50003854,310,0
subroot_map_50026617,377,0
subroot_map_50002409,102,0
subroot_map_121380002,262,0
subroot_map_124488008,114,0
subroot_map_50012342,170,0
subroot_map_50014763,6,0
subroot_map_50012345,152,0
subroot_map_50014764,2052,0
subroot_map_50012347,117,0
subroot_map_50012349,209,0
subroot_map_50010021,200,0
subroot_map_121368002,76,0
subroot_map_50009033,819,0
subroot_map_50009032,1669,0
subroot_map_50000582,212,0
subroot_map_50003853,29,0
subroot_map_50000583,321,0
subroot_map_124462006,598,0
subroot_map_122682001,5,0
subroot_map_50004816,5,0
subroot_map_50496015,520,0
subroot_map_50160002,3,0
subroot_map_50022270,7,0
subroot_map_50012473,182,0
subroot_map_50012354,320,0
subroot_map_50013202,50,0
subroot_map_50014855,8262,0
subroot_map_50014854,190,0
subroot_map_50012314,38,0
subroot_map_50013888,1240,0
subroot_map_121392003,121,0
subroot_map_121392004,3923,0
subroot_map_50003881,9,0
subroot_map_50023206,1656,0
subroot_map_50023688,96,0
subroot_map_50024300,21,0
subroot_map_50023573,112,0
subroot_map_50004849,16,0
subroot_map_50013891,119,0
subroot_map_217302,2,0
subroot_map_50010167,772,0
